,OIL NAME,OIL TYPE,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,10W40,SYNTHETIC,1,118.872887,-62.33632999999999,175.52
1,10W40,SYNTHETIC,1,118.870887,-62.35868,-178.2246
2,10W40,SYNTHETIC,1,118.878888,-62.45934,172.3324
3,10W40,SYNTHETIC,2,118.874887,-61.892300000000006,-178.61090000000002
4,10W40,SYNTHETIC,2,118.878888,-61.90285,171.6235
5,10W40,SYNTHETIC,2,118.876888,-61.913070000000005,175.2182
6,10W40,SYNTHETIC,3,118.886889,-61.37335,169.7036
7,10W40,SYNTHETIC,3,118.884888,-61.49127,176.14680000000004
8,10W40,SYNTHETIC,3,118.894889,-61.60141,166.7147
9,5W30,SYNTHETIC,1,118.872887,-57.27288,-162.46640000000002
10,5W30,SYNTHETIC,1,118.888889,-57.45019,-173.8333
11,5W30,SYNTHETIC,1,118.890889,-57.45746,-173.8878
12,5W30,SYNTHETIC,2,118.888889,-56.54844,-175.7385
13,5W30,SYNTHETIC,2,118.892889,-56.77471,-176.52490000000003
14,5W30,SYNTHETIC,2,118.890889,-56.84834000000001,-174.9888
15,5W30,SYNTHETIC,3,118.874887,-56.77548,-163.4336
16,5W30,SYNTHETIC,3,118.886889,-56.79126,-172.60350000000005
17,5W30,SYNTHETIC,3,118.858886,-56.88812,-151.9654
18,5W40,SYNTHETIC,1,118.876888,-57.34062,179.45190000000002
19,5W40,SYNTHETIC,1,118.89889,-57.44957,161.2556
20,5W40,SYNTHETIC,1,118.888889,-57.47217,167.0403
21,5W40,SYNTHETIC,2,118.876888,-57.19274,176.9566
22,5W40,SYNTHETIC,2,118.878888,-57.42343,174.61330000000004
23,5W40,SYNTHETIC,2,118.868887,-57.49381,-176.6842
24,5W40,SYNTHETIC,3,118.946895,-57.34935999999999,140.2582
25,5W40,SYNTHETIC,3,118.870887,-57.56983,-170.95070000000004
26,5W40,SYNTHETIC,3,118.880888,-57.61698,-174.3236
27,CANOLA,VEGETAL,1,118.892889,-55.99414,-162.3752
28,CANOLA,VEGETAL,1,118.862886,-56.00793,-137.5413
29,CANOLA,VEGETAL,1,118.872887,-56.05492,-144.066
30,CANOLA,VEGETAL,2,118.876888,-55.62185,-147.20659999999998
31,CANOLA,VEGETAL,2,118.884888,-55.65122000000001,-153.3732
32,CANOLA,VEGETAL,2,118.880888,-55.66278,-147.9447
33,CANOLA,VEGETAL,3,118.882888,-55.92981,-149.6538
34,CANOLA,VEGETAL,3,118.892889,-55.9731,-158.9033
35,CANOLA,VEGETAL,3,118.884888,-56.0214,-152.0416
36,CORN,VEGETAL,1,118.878888,-54.97587,-144.2011
37,CORN,VEGETAL,1,118.876888,-55.1267,-145.14450000000002
38,CORN,VEGETAL,1,118.882888,-55.17960000000001,-149.8984
39,CORN,VEGETAL,2,118.908891,-55.10523,-162.50140000000002
40,CORN,VEGETAL,2,118.874887,-55.11529,-140.9733
41,CORN,VEGETAL,2,118.884888,-55.14943000000001,-146.0928
42,CORN,VEGETAL,3,118.854885,-55.21401,-124.04070000000002
43,CORN,VEGETAL,3,118.89889,-55.24078,-158.8879
44,CORN,VEGETAL,3,118.906891,-55.25331,-161.5976
45,SUNFLOWER,VEGETAL,1,118.888889,-55.34724,-158.4606
46,SUNFLOWER,VEGETAL,1,118.886889,-55.35978999999999,-156.9714
47,SUNFLOWER,VEGETAL,1,118.866887,-55.41881,-141.0488
48,SUNFLOWER,VEGETAL,2,118.880888,-55.46637,-152.479
49,SUNFLOWER,VEGETAL,2,118.878888,-55.51007,-150.874
50,SUNFLOWER,VEGETAL,2,118.884888,-55.51517,-156.62560000000002
51,SUNFLOWER,VEGETAL,3,118.886889,-55.36774,-156.1901
52,SUNFLOWER,VEGETAL,3,118.862886,-55.52504,-137.03540000000004
53,SUNFLOWER,VEGETAL,3,118.872887,-55.65652999999999,-147.8581
54,TRAFO 38,MINERAL,1,118.878888,-49.43958000000001,-148.5207
55,TRAFO 38,MINERAL,1,118.870887,-49.44711,-141.86850000000004
56,TRAFO 38,MINERAL,1,118.874887,-49.49284,-145.6563
57,TRAFO 38,MINERAL,2,118.874887,-49.66662,-143.0631
58,TRAFO 38,MINERAL,2,118.942894,-49.67152,171.8043
59,TRAFO 38,MINERAL,2,118.922892,-49.69144,-176.14340000000004
60,TRAFO 38,MINERAL,3,118.876888,-49.69557,-145.4318
61,TRAFO 38,MINERAL,3,118.892889,-49.70817,-156.7083
62,TRAFO 38,MINERAL,3,118.970897,-49.76433,151.4603
63,TRAFO 44,MINERAL,1,118.892889,-49.60576,-154.2421
64,TRAFO 44,MINERAL,1,118.882888,-49.60727,-147.1971
65,TRAFO 44,MINERAL,1,118.876888,-49.646910000000005,-143.6986
66,TRAFO 44,MINERAL,2,118.892889,-49.56674,-154.1817
67,TRAFO 44,MINERAL,2,118.884888,-49.59696,-148.3112
68,TRAFO 44,MINERAL,2,118.914891,-49.62706,-169.3878
69,TRAFO 44,MINERAL,3,118.880888,-49.58331,-146.1027
70,TRAFO 44,MINERAL,3,118.882888,-49.64601,-148.0336
71,TRAFO 44,MINERAL,3,118.884888,-49.66164,-149.4274
72,TRAFO 46,MINERAL,1,118.876888,-48.07645,-138.9213
73,TRAFO 46,MINERAL,1,118.870887,-48.12016,-136.0033
74,TRAFO 46,MINERAL,1,118.888889,-48.13108,-149.379
75,TRAFO 46,MINERAL,2,118.918892,-47.96186,-161.7688
76,TRAFO 46,MINERAL,2,118.890889,-47.97822,-144.0774
77,TRAFO 46,MINERAL,2,118.882888,-47.9878,-139.4882
78,TRAFO 46,MINERAL,3,118.892889,-47.97227,-145.6281
79,TRAFO 46,MINERAL,3,118.950895,-48.01999000000001,175.6757
80,TRAFO 46,MINERAL,3,118.936894,-48.03017,-174.32630000000003
